Latitude,Longitude,mean_U,mean_V,Speed,unit_U,unit_V
16.1182,-66.7097,-0.274418605,-0.100697674,0.292,-0.938790572,-0.344488405
16.1182,-66.5425,-0.266944444,-0.154861111,0.308611892,-0.864984309,-0.50179891
16.1721,-66.7097,-0.234605263,-0.104210526,0.256708908,-0.913896075,-0.405948228
16.1721,-66.5425,-0.2475,-0.157875,0.293565607,-0.843082412,-0.537784387
16.1721,-66.3752,-0.261162791,-0.206976744,0.333234716,-0.783720238,-0.621113991
16.2261,-66.9326,-0.125897436,-0.085897436,0.1524091,-0.826049335,-0.563597815
16.2261,-66.7097,-0.19744898,-0.115,0.228497483,-0.86411884,-0.503287821
16.2261,-66.5425,-0.2221875,-0.157083333,0.27210744,-0.816543275,-0.577284228
16.2261,-66.3752,-0.235087719,-0.201403509,0.309563578,-0.759416597,-0.650604667
16.2261,-66.3195,-0.235333333,-0.202333333,0.310355531,-0.758270145,-0.651940479
16.2261,-66.2638,-0.218977273,-0.197045455,0.294580986,-0.743351687,-0.668900792
16.28,-67.0441,-0.13,-0.031666667,0.133801262,-0.971590236,-0.236669417
16.28,-66.8212,-0.136142857,-0.091571429,0.164073776,-0.829766098,-0.5581113
16.28,-66.7097,-0.18425,-0.119875,0.219813735,-0.838209678,-0.545348087
16.28,-66.6539,-0.26,-0.115,0.28429738,-0.914535338,-0.404506015
16.28,-66.5982,-0.161982759,-0.153448276,0.223125049,-0.725972989,-0.687723214
16.28,-66.5425,-0.210921053,-0.166184211,0.268523523,-0.785484454,-0.618881388
16.28,-66.4867,-0.205681818,-0.166704545,0.264755389,-0.776874908,-0.629654967
16.28,-66.431,-0.163814433,-0.181134021,0.244222648,-0.670758565,-0.74167577
16.28,-66.3195,-0.225862069,-0.201034483,0.302371522,-0.74696872,-0.664859181
16.334,-67.0441,-0.11119403,-0.04238806,0.118999411,-0.934408235,-0.356203945
16.334,-66.9884,-0.24,-0.18,0.3,-0.8,-0.6
16.334,-66.8212,-0.111313869,-0.104379562,0.152597085,-0.729462615,-0.684020682
16.334,-66.7654,-0.114166667,-0.105166667,0.1552226,-0.735502863,-0.677521615
16.334,-66.6539,-0.126889952,-0.143349282,0.191442097,-0.662811126,-0.748786626
16.334,-66.5982,-0.129602649,-0.146821192,0.195840009,-0.661778202,-0.74969968
16.334,-66.4867,-0.156622517,-0.17807947,0.237155878,-0.660420134,-0.750896296
16.334,-66.431,-0.153768116,-0.178405797,0.235527625,-0.652866585,-0.757472918
16.334,-66.3195,-0.170285714,-0.193857143,0.258026774,-0.65995366,-0.751306306
16.334,-66.2638,-0.17175,-0.1965,0.260979525,-0.658097603,-0.752932629
16.334,-66.0408,-0.038543689,-0.113203883,0.119585682,-0.322310237,-0.946634096
16.334,-65.9851,-0.038543689,-0.113203883,0.119585682,-0.322310237,-0.946634096
16.3879,-67.2113,-0.071612903,-0.016451613,0.07347832,-0.974612695,-0.223897511
16.3879,-67.0441,-0.118571429,-0.052987013,0.129872273,-0.912984936,-0.407993268
16.3879,-66.9884,-0.110409357,-0.074678363,0.133293225,-0.828319343,-0.56025625
16.3879,-66.9326,-0.078828829,-0.078828829,0.111480799,-0.707106781,-0.707106781
16.3879,-66.8212,-0.120588235,-0.111390374,0.164162535,-0.734566112,-0.678537123
