Latitude,Longitude,median_U,median_V
16.1182,-66.7097,-0.3,-0.1
16.1182,-66.5425,-0.26,-0.16
16.1721,-66.7097,-0.24,-0.11
16.1721,-66.5425,-0.255,-0.15
16.1721,-66.3752,-0.29,-0.21
16.2261,-66.9326,-0.13,-0.08
16.2261,-66.7097,-0.2,-0.11
16.2261,-66.5425,-0.23,-0.16
16.2261,-66.3752,-0.25,-0.2
16.2261,-66.3195,-0.255,-0.2
16.2261,-66.2638,-0.22,-0.20500000000000002
16.28,-67.0441,-0.15,-0.02
16.28,-66.8212,-0.15,-0.1
16.28,-66.7097,-0.19,-0.12
16.28,-66.6539,-0.26,-0.115
16.28,-66.5982,-0.175,-0.15
16.28,-66.5425,-0.225,-0.17
16.28,-66.4867,-0.21,-0.165
16.28,-66.431,-0.17,-0.17
16.28,-66.3195,-0.21,-0.19
16.334,-67.0441,-0.13,-0.04
16.334,-66.9884,-0.24,-0.18
16.334,-66.8212,-0.12,-0.11
16.334,-66.7654,-0.12,-0.1
16.334,-66.6539,-0.13,-0.14
16.334,-66.5982,-0.13,-0.15
16.334,-66.4867,-0.15,-0.17
16.334,-66.431,-0.155,-0.17
16.334,-66.3195,-0.16,-0.2
16.334,-66.2638,-0.165,-0.2
16.334,-66.0408,-0.04,-0.12
16.334,-65.9851,-0.04,-0.12
16.3879,-67.2113,-0.07,-0.02
16.3879,-67.0441,-0.11,-0.05
16.3879,-66.9884,-0.11,-0.07
16.3879,-66.9326,-0.08,-0.08
16.3879,-66.8212,-0.13,-0.11
16.3879,-66.7654,-0.12,-0.11
16.3879,-66.7097,-0.22,-0.09
16.3879,-66.6539,-0.11,-0.14
16.3879,-66.5982,-0.13,-0.14
16.3879,-66.5425,-0.315,-0.09
16.3879,-66.4867,-0.14,-0.17
16.3879,-66.431,-0.13,-0.17
16.3879,-66.3752,-0.18,-0.19
16.3879,-66.3195,-0.13,-0.19
16.3879,-66.2638,-0.14,-0.2
16.3879,-66.208,-0.13,-0.19
16.3879,-66.1523,-0.1,-0.17
16.3879,-66.0965,-0.09,-0.175
16.3879,-66.0408,-0.04,-0.1
16.4418,-67.2113,-0.06,-0.02
16.4418,-67.0441,-0.13,-0.06
16.4418,-66.9884,-0.1,-0.09
16.4418,-66.9326,-0.08,-0.09
16.4418,-66.8769,-0.12,-0.09
16.4418,-66.8212,-0.13,-0.11
16.4418,-66.7654,-0.12,-0.11499999999999999
16.4418,-66.7097,-0.1,-0.12
16.4418,-66.6539,-0.12,-0.13
16.4418,-66.5982,-0.11,-0.13
16.4418,-66.5425,-0.1,-0.14
16.4418,-66.4867,-0.14,-0.16
16.4418,-66.431,-0.13,-0.16
16.4418,-66.3752,-0.09,-0.16
16.4418,-66.3195,-0.09,-0.17
16.4418,-66.2638,-0.13,-0.19
16.4418,-66.208,-0.04,-0.14
16.4418,-66.1523,-0.065,-0.15
16.4418,-66.0965,-0.05,-0.15
16.4418,-66.0408,0.02,-0.08
16.4418,-65.9851,-0.01,-0.07
16.4418,-65.9293,0.03,-0.035
16.4418,-65.8736,0.09,0.0
16.4958,-67.3228,-0.02,-0.01
16.4958,-67.1556,-0.07,-0.03
16.4958,-67.0999,-0.05,-0.08
16.4958,-67.0441,-0.08,-0.07
16.4958,-66.9884,-0.11,-0.1
16.4958,-66.9326,-0.11,-0.1
16.4958,-66.8769,-0.09,-0.11
16.4958,-66.8212,-0.13,-0.1
16.4958,-66.7654,-0.12,-0.11
16.4958,-66.7097,-0.1,-0.12
16.4958,-66.6539,-0.09,-0.12
16.4958,-66.5982,-0.11,-0.13
16.4958,-66.5425,-0.09,-0.14
16.4958,-66.4867,-0.1,-0.14
16.4958,-66.431,-0.14,-0.15
16.4958,-66.3752,-0.08,-0.15
16.4958,-66.3195,-0.07,-0.16
16.4958,-66.2638,-0.1,-0.17
16.4958,-66.208,-0.03,-0.14
16.4958,-66.1523,-0.025,-0.13
16.4958,-66.0965,-0.05,-0.14
16.4958,-66.0408,0.02,-0.07
16.4958,-65.9851,0.01,-0.055
16.4958,-65.9293,0.05,-0.04
16.4958,-65.8736,0.1,0.02
16.5497,-67.3786,-0.02,0.0
16.5497,-67.3228,-0.02,-0.03
16.5497,-67.2671,-0.03,-0.03
16.5497,-67.2113,-0.085,-0.01
16.5497,-67.1556,-0.09,-0.04
16.5497,-67.0999,-0.07,-0.05
16.5497,-67.0441,-0.08,-0.07
16.5497,-66.9884,-0.08499999999999999,-0.09
16.5497,-66.9326,-0.1,-0.09
16.5497,-66.8769,-0.08,-0.1
16.5497,-66.8212,-0.09,-0.1
16.5497,-66.7654,-0.12,-0.11
16.5497,-66.7097,-0.09,-0.12
16.5497,-66.6539,-0.09,-0.12
16.5497,-66.5982,-0.1,-0.12
16.5497,-66.5425,-0.09,-0.14
16.5497,-66.4867,-0.1,-0.14
16.5497,-66.431,-0.08,-0.13
16.5497,-66.3752,-0.08,-0.14
16.5497,-66.3195,-0.07,-0.15
16.5497,-66.2638,-0.04,-0.13
16.5497,-66.208,-0.02,-0.12
16.5497,-66.1523,0.0,-0.11
16.5497,-66.0965,0.01,-0.1
16.5497,-66.0408,-0.02,-0.07500000000000001
16.5497,-65.9851,0.03,-0.03
16.5497,-65.9293,0.06,-0.01
16.5497,-65.8736,0.08,0.01
16.5497,-65.8178,0.04,0.05
16.5497,-65.7621,0.15,0.1
16.6037,-67.49,0.03,0.01
16.6037,-67.3228,-0.03,-0.03
16.6037,-67.2671,-0.05,-0.03
16.6037,-67.2113,-0.04,-0.03
16.6037,-67.1556,-0.095,-0.025
16.6037,-67.0999,-0.1,-0.06
16.6037,-67.0441,-0.09,-0.06
16.6037,-66.9884,-0.08,-0.08
16.6037,-66.8769,-0.08,-0.1
16.6037,-66.8212,-0.07500000000000001,-0.1
16.6037,-66.7654,-0.08,-0.10500000000000001
16.6037,-66.7097,-0.08,-0.12
16.6037,-66.6539,-0.08,-0.12
16.6037,-66.5982,-0.07,-0.13
16.6037,-66.5425,-0.09,-0.12
16.6037,-66.4867,-0.08,-0.12
16.6037,-66.431,-0.07,-0.12
16.6037,-66.3752,-0.07,-0.13
16.6037,-66.3195,-0.05,-0.12
16.6037,-66.2638,-0.01,-0.1
16.6037,-66.208,-0.01,-0.11
16.6037,-66.1523,0.015,-0.09
16.6037,-66.0965,-0.015,-0.07
16.6037,-66.0408,0.02,-0.055
16.6037,-65.9851,0.08,-0.01
16.6037,-65.9293,0.05,-0.005
