Latitude,Longitude,mean_U,mean_V
16.1182,-66.7097,-0.2744186046511628,-0.1006976744186046
16.1182,-66.5425,-0.2669444444444444,-0.1548611111111111
16.1721,-66.7097,-0.2346052631578947,-0.1042105263157894
16.1721,-66.5425,-0.2475,-0.157875
16.1721,-66.3752,-0.2611627906976744,-0.20697674418604653
16.2261,-66.9326,-0.1258974358974359,-0.0858974358974359
16.2261,-66.7097,-0.1974489795918367,-0.11499999999999988
16.2261,-66.5425,-0.2221875,-0.1570833333333333
16.2261,-66.3752,-0.2350877192982456,-0.2014035087719298
16.2261,-66.3195,-0.2353333333333333,-0.2023333333333333
16.2261,-66.2638,-0.2189772727272727,-0.1970454545454545
16.28,-67.0441,-0.13,-0.0316666666666666
16.28,-66.8212,-0.1361428571428571,-0.0915714285714285
16.28,-66.7097,-0.18425,-0.119875
16.28,-66.6539,-0.26,-0.115
16.28,-66.5982,-0.1619827586206896,-0.1534482758620689
16.28,-66.5425,-0.21092105263157893,-0.1661842105263158
16.28,-66.4867,-0.2056818181818182,-0.1667045454545454
16.28,-66.431,-0.1638144329896907,-0.1811340206185567
16.28,-66.3195,-0.2258620689655172,-0.2010344827586207
16.334,-67.0441,-0.1111940298507462,-0.0423880597014925
16.334,-66.9884,-0.24,-0.18
16.334,-66.8212,-0.1113138686131386,-0.1043795620437956
16.334,-66.7654,-0.1141666666666666,-0.1051666666666666
16.334,-66.6539,-0.12688995215311,-0.1433492822966507
16.334,-66.5982,-0.1296026490066225,-0.1468211920529801
16.334,-66.4867,-0.1566225165562914,-0.1780794701986755
16.334,-66.431,-0.1537681159420289,-0.1784057971014492
16.334,-66.3195,-0.1702857142857143,-0.1938571428571428
16.334,-66.2638,-0.1717499999999999,-0.1965
16.334,-66.0408,-0.0385436893203883,-0.1132038834951456
16.334,-65.9851,-0.0385436893203883,-0.1132038834951456
16.3879,-67.2113,-0.0716129032258064,-0.0164516129032258
16.3879,-67.0441,-0.1185714285714285,-0.05298701298701291
16.3879,-66.9884,-0.1104093567251462,-0.0746783625730994
16.3879,-66.9326,-0.0788288288288288,-0.0788288288288288
16.3879,-66.8212,-0.1205882352941176,-0.11139037433155079
16.3879,-66.7654,-0.1105263157894737,-0.11789473684210519
16.3879,-66.7097,-0.21,-0.0881818181818181
16.3879,-66.6539,-0.1175107296137339,-0.1503862660944206
16.3879,-66.5982,-0.1241588785046729,-0.149626168224299
16.3879,-66.5425,-0.3,-0.09
16.3879,-66.4867,-0.1416546762589928,-0.1747482014388489
16.3879,-66.431,-0.135679012345679,-0.1758024691358024
16.3879,-66.3752,-0.1718260869565217,-0.185391304347826
16.3879,-66.3195,-0.1070391061452514,-0.176927374301676
16.3879,-66.2638,-0.1509375,-0.188125
16.3879,-66.208,-0.1428571428571428,-0.1784920634920634
16.3879,-66.1523,-0.0836296296296296,-0.1623703703703704
16.3879,-66.0965,-0.0951449275362319,-0.1677536231884057
16.3879,-66.0408,-0.0086725663716814,-0.1005309734513274
16.4418,-67.2113,-0.0608955223880597,-0.0238805970149253
16.4418,-67.0441,-0.1350485436893204,-0.0597087378640776
16.4418,-66.9884,-0.1144623655913978,-0.0840322580645161
16.4418,-66.9326,-0.095040650406504,-0.0903252032520325
16.4418,-66.8769,-0.12264,-0.0992
16.4418,-66.8212,-0.1230049261083743,-0.1160098522167487
16.4418,-66.7654,-0.1151824817518248,-0.12215328467153279
16.4418,-66.7097,-0.1014492753623188,-0.1277173913043478
16.4418,-66.6539,-0.1224434389140271,-0.1481447963800905
